Unidad,Tema,Elemento,Tipo,Título,Estado,Palabras,Rise360_ID,Timestamp,Errores
1,1.2,Video,VideoScript,"Video: Modelos Pedagógicos para el Aprendizaje en Línea: Constructivismo, Conectivismo y ABS",✅,294,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_1_2_5,2026-02-25T19:06:27.284434,
1,1.2,Actividad,PracticalActivity,"Actividad Práctica: Modelos Pedagógicos para el Aprendizaje en Línea: Constructivismo, Conectivismo y ABS",✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_1_2_6,2026-02-25T19:06:27.284467,
1,1.3,Narrativa,Narrative,Narrativa: Introducción a la IA Generativa como Copiloto Pedagógico,✅,284,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_1_3_1,2026-02-25T19:06:27.284516,
1,1.3,Conceptos,list,"[Concept(term='IA Generativa', definition='Sistema",⏳,,,2026-02-25T19:06:27.284546,
1,1.3,Académico,AcademicText,Texto Académico: Introducción a la IA Generativa como Copiloto Pedagógico,✅,294,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_1_3_3,2026-02-25T19:06:27.284574,
1,1.3,Infografía,Infographic,Infografía: Introducción a la IA Generativa como Copiloto Pedagógico,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_1_3_4,2026-02-25T19:06:27.284624,
1,1.3,Video,VideoScript,Video: Introducción a la IA Generativa como Copiloto Pedagógico,✅,293,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_1_3_5,2026-02-25T19:06:27.284676,
1,1.3,Actividad,PracticalActivity,Actividad Práctica: Introducción a la IA Generativa como Copiloto Pedagógico,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_1_3_6,2026-02-25T19:06:27.284709,
2,2.1,Narrativa,Narrative,Narrativa: Estándares de Calidad: Quality Matters Framework,✅,276,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_2_1_1,2026-02-25T19:06:27.284744,
2,2.1,Conceptos,list,"[Concept(term='Estándares QM', definition='Concept",⏳,,,2026-02-25T19:06:27.284791,
2,2.1,Académico,AcademicText,Texto Académico: Estándares de Calidad: Quality Matters Framework,✅,282,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_2_1_3,2026-02-25T19:06:27.284820,
2,2.1,Infografía,Infographic,Infografía: Estándares de Calidad: Quality Matters Framework,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_2_1_4,2026-02-25T19:06:27.284852,
2,2.1,Video,VideoScript,Video: Estándares de Calidad: Quality Matters Framework,✅,288,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_2_1_5,2026-02-25T19:06:27.284897,
2,2.1,Actividad,PracticalActivity,Actividad Práctica: Estándares de Calidad: Quality Matters Framework,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_2_1_6,2026-02-25T19:06:27.284932,
2,2.2,Narrativa,Narrative,Narrativa: Alineamiento Curricular y Objetivos de Aprendizaje,✅,276,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_2_2_1,2026-02-25T19:06:27.284980,
2,2.2,Conceptos,list,"[Concept(term='Alineamiento ABCDE', definition='Co",⏳,,,2026-02-25T19:06:27.285018,
2,2.2,Académico,AcademicText,Texto Académico: Alineamiento Curricular y Objetivos de Aprendizaje,✅,282,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_2_2_3,2026-02-25T19:06:27.285059,
2,2.2,Infografía,Infographic,Infografía: Alineamiento Curricular y Objetivos de Aprendizaje,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_2_2_4,2026-02-25T19:06:27.285090,
2,2.2,Video,VideoScript,Video: Alineamiento Curricular y Objetivos de Aprendizaje,✅,288,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_2_2_5,2026-02-25T19:06:27.285137,
2,2.2,Actividad,PracticalActivity,Actividad Práctica: Alineamiento Curricular y Objetivos de Aprendizaje,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_2_2_6,2026-02-25T19:06:27.285169,
2,2.3,Narrativa,Narrative,Narrativa: Diseño de Experiencias de Aprendizaje Coherentes,✅,276,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_2_3_1,2026-02-25T19:06:27.285215,
2,2.3,Conceptos,list,"[Concept(term='Experiencia integral', definition='",⏳,,,2026-02-25T19:06:27.285244,
2,2.3,Académico,AcademicText,Texto Académico: Diseño de Experiencias de Aprendizaje Coherentes,✅,282,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_2_3_3,2026-02-25T19:06:27.285270,
2,2.3,Infografía,Infographic,Infografía: Diseño de Experiencias de Aprendizaje Coherentes,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_2_3_4,2026-02-25T19:06:27.285301,
2,2.3,Video,VideoScript,Video: Diseño de Experiencias de Aprendizaje Coherentes,✅,288,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_2_3_5,2026-02-25T19:06:27.285330,
2,2.3,Actividad,PracticalActivity,Actividad Práctica: Diseño de Experiencias de Aprendizaje Coherentes,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_2_3_6,2026-02-25T19:06:27.285360,
3,3.1,Narrativa,Narrative,Narrativa: Diseño de Prompts Pedagógicos Efectivos,✅,276,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_3_1_1,2026-02-25T19:06:27.285392,
3,3.1,Conceptos,list,"[Concept(term='Ingeniería de prompts', definition=",⏳,,,2026-02-25T19:06:27.285418,
3,3.1,Académico,AcademicText,Texto Académico: Diseño de Prompts Pedagógicos Efectivos,✅,285,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_3_1_3,2026-02-25T19:06:27.285444,
3,3.1,Infografía,Infographic,Infografía: Diseño de Prompts Pedagógicos Efectivos,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_3_1_4,2026-02-25T19:06:27.285472,
3,3.1,Video,VideoScript,Video: Diseño de Prompts Pedagógicos Efectivos,✅,289,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_3_1_5,2026-02-25T19:06:27.285500,
3,3.1,Actividad,PracticalActivity,Actividad Práctica: Diseño de Prompts Pedagógicos Efectivos,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_3_1_6,2026-02-25T19:06:27.285529,
3,3.2,Narrativa,Narrative,Narrativa: Generación de Narrativas y Casos de Estudio,✅,278,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_3_2_1,2026-02-25T19:06:27.285561,
3,3.2,Conceptos,list,"[Concept(term='Narrativas pedagógicas', definition",⏳,,,2026-02-25T19:06:27.285606,
3,3.2,Académico,AcademicText,Texto Académico: Generación de Narrativas y Casos de Estudio,✅,283,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_3_2_3,2026-02-25T19:06:27.285835,
3,3.2,Infografía,Infographic,Infografía: Generación de Narrativas y Casos de Estudio,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_3_2_4,2026-02-25T19:06:27.285870,
3,3.2,Video,VideoScript,Video: Generación de Narrativas y Casos de Estudio,✅,289,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_3_2_5,2026-02-25T19:06:27.285901,
3,3.2,Actividad,PracticalActivity,Actividad Práctica: Generación de Narrativas y Casos de Estudio,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_3_2_6,2026-02-25T19:06:27.285932,
3,3.3,Narrativa,Narrative,Narrativa: Producción de Videos Educativos con IA,✅,277,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_3_3_1,2026-02-25T19:06:27.285965,
3,3.3,Conceptos,list,"[Concept(term='Guiones de video', definition='Conc",⏳,,,2026-02-25T19:06:27.285991,
3,3.3,Académico,AcademicText,Texto Académico: Producción de Videos Educativos con IA,✅,285,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_3_3_3,2026-02-25T19:06:27.286018,
3,3.3,Infografía,Infographic,Infografía: Producción de Videos Educativos con IA,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_3_3_4,2026-02-25T19:06:27.286047,
3,3.3,Video,VideoScript,Video: Producción de Videos Educativos con IA,✅,290,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_3_3_5,2026-02-25T19:06:27.286075,
3,3.3,Actividad,PracticalActivity,Actividad Práctica: Producción de Videos Educativos con IA,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_3_3_6,2026-02-25T19:06:27.286104,
4,4.1,Narrativa,Narrative,Narrativa: Evaluaciones Auténticas Diseñadas con IA,✅,273,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_4_1_1,2026-02-25T19:06:27.286139,
4,4.1,Conceptos,list,"[Concept(term='Autenticidad pedagógica', definitio",⏳,,,2026-02-25T19:06:27.286165,
4,4.1,Académico,AcademicText,Texto Académico: Evaluaciones Auténticas Diseñadas con IA,✅,280,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_4_1_3,2026-02-25T19:06:27.286190,
4,4.1,Infografía,Infographic,Infografía: Evaluaciones Auténticas Diseñadas con IA,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_4_1_4,2026-02-25T19:06:27.286241,
4,4.1,Video,VideoScript,Video: Evaluaciones Auténticas Diseñadas con IA,✅,287,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_4_1_5,2026-02-25T19:06:27.286272,
4,4.1,Actividad,PracticalActivity,Actividad Práctica: Evaluaciones Auténticas Diseñadas con IA,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_4_1_6,2026-02-25T19:06:27.286302,
4,4.2,Narrativa,Narrative,Narrativa: Curación Crítica de Contenido Generado por IA,✅,280,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_4_2_1,2026-02-25T19:06:27.286334,
4,4.2,Conceptos,list,"[Concept(term='Verificación de precisión', definit",⏳,,,2026-02-25T19:06:27.286361,
4,4.2,Académico,AcademicText,Texto Académico: Curación Crítica de Contenido Generado por IA,✅,287,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_4_2_3,2026-02-25T19:06:27.286387,
4,4.2,Infografía,Infographic,Infografía: Curación Crítica de Contenido Generado por IA,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_4_2_4,2026-02-25T19:06:27.286420,
4,4.2,Video,VideoScript,Video: Curación Crítica de Contenido Generado por IA,✅,291,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_4_2_5,2026-02-25T19:06:27.286450,
4,4.2,Actividad,PracticalActivity,Actividad Práctica: Curación Crítica de Contenido Generado por IA,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_4_2_6,2026-02-25T19:06:27.286478,
4,4.3,Narrativa,Narrative,"Narrativa: Marcos de Evaluación de Calidad: QM, Bloom y ABCDE",✅,284,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_4_3_1,2026-02-25T19:06:27.286510,
4,4.3,Conceptos,list,"[Concept(term='Marco Quality Matters', definition=",⏳,,,2026-02-25T19:06:27.286536,
4,4.3,Académico,AcademicText,"Texto Académico: Marcos de Evaluación de Calidad: QM, Bloom y ABCDE",✅,291,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_4_3_3,2026-02-25T19:06:27.286561,
4,4.3,Infografía,Infographic,"Infografía: Marcos de Evaluación de Calidad: QM, Bloom y ABCDE",✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_4_3_4,2026-02-25T19:06:27.286591,
4,4.3,Video,VideoScript,"Video: Marcos de Evaluación de Calidad: QM, Bloom y ABCDE",✅,294,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_4_3_5,2026-02-25T19:06:27.286620,
4,4.3,Actividad,PracticalActivity,"Actividad Práctica: Marcos de Evaluación de Calidad: QM, Bloom y ABCDE",✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_4_3_6,2026-02-25T19:06:27.286650,
5,5.1,Narrativa,Narrative,Narrativa: Montaje de Cursos en LMS y Publicación,✅,281,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_5_1_1,2026-02-25T19:06:27.286684,
5,5.1,Conceptos,list,"[Concept(term='Configuración LMS', definition='Con",⏳,,,2026-02-25T19:06:27.286711,
5,5.1,Académico,AcademicText,Texto Académico: Montaje de Cursos en LMS y Publicación,✅,288,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_5_1_3,2026-02-25T19:06:27.286736,
5,5.1,Infografía,Infographic,Infografía: Montaje de Cursos en LMS y Publicación,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_5_1_4,2026-02-25T19:06:27.286766,
5,5.1,Video,VideoScript,Video: Montaje de Cursos en LMS y Publicación,✅,290,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_5_1_5,2026-02-25T19:06:27.286824,
5,5.1,Actividad,PracticalActivity,Actividad Práctica: Montaje de Cursos en LMS y Publicación,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_5_1_6,2026-02-25T19:06:27.286882,
5,5.2,Narrativa,Narrative,Narrativa: Análisis de Datos y Analítica Educativa,✅,280,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_5_2_1,2026-02-25T19:06:27.286945,
5,5.2,Conceptos,list,"[Concept(term='Learning analytics', definition='Co",⏳,,,2026-02-25T19:06:27.286984,
5,5.2,Académico,AcademicText,Texto Académico: Análisis de Datos y Analítica Educativa,✅,290,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_5_2_3,2026-02-25T19:06:27.287012,
5,5.2,Infografía,Infographic,Infografía: Análisis de Datos y Analítica Educativa,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_5_2_4,2026-02-25T19:06:27.287045,
5,5.2,Video,VideoScript,Video: Análisis de Datos y Analítica Educativa,✅,290,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_5_2_5,2026-02-25T19:06:27.287076,
5,5.2,Actividad,PracticalActivity,Actividad Práctica: Análisis de Datos y Analítica Educativa,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_5_2_6,2026-02-25T19:06:27.287107,
5,5.3,Narrativa,Narrative,Narrativa: Iteración Continua y Comunidades de Práctica,✅,279,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_5_3_1,2026-02-25T19:06:27.287139,
5,5.3,Conceptos,list,"[Concept(term='Ciclo de mejora', definition='Conce",⏳,,,2026-02-25T19:06:27.287165,
5,5.3,Académico,AcademicText,Texto Académico: Iteración Continua y Comunidades de Práctica,✅,291,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_5_3_3,2026-02-25T19:06:27.287191,
5,5.3,Infografía,Infographic,Infografía: Iteración Continua y Comunidades de Práctica,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_5_3_4,2026-02-25T19:06:27.287225,
5,5.3,Video,VideoScript,Video: Iteración Continua y Comunidades de Práctica,✅,292,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_5_3_5,2026-02-25T19:06:27.287257,
5,5.3,Actividad,PracticalActivity,Actividad Práctica: Iteración Continua y Comunidades de Práctica,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_5_3_6,2026-02-25T19:06:27.287300,
